iter	RMSE
0	16.06753559
1	15.97073965
2	15.8789688
3	15.78574753
4	15.69350025
5	15.60118826
6	15.51112907
7	15.42375035
8	15.33527307
9	15.24746864
10	15.1627364
11	15.07793752
12	14.99624786
13	14.91339415
14	14.83412704
15	14.75290819
16	14.67205251
17	14.59134589
18	14.5124438
19	14.43380754
20	14.35543233
21	14.27882217
22	14.20445441
23	14.12770638
24	14.05280888
25	13.98087444
26	13.90698655
27	13.83449403
28	13.76302156
29	13.69386633
30	13.6244032
31	13.55596916
32	13.48860167
33	13.42026779
34	13.35248666
35	13.28598839
36	13.22147968
37	13.15707319
38	13.09154976
39	13.02911883
40	12.96564595
41	12.90383809
42	12.84174005
43	12.78107683
44	12.7191632
45	12.66107025
46	12.60123754
47	12.5427484
48	12.48446835
49	12.42723521
50	12.37046685
51	12.31643719
52	12.26069176
53	12.20644399
54	12.15350258
55	12.10146944
56	12.04768442
57	11.99414753
58	11.94304348
59	11.89204356
60	11.84197619
61	11.79329841
62	11.74268123
63	11.69345223
64	11.64595853
65	11.59840991
66	11.55059847
67	11.50376895
68	11.45729298
69	11.41133099
70	11.36483997
71	11.32152927
72	11.27676594
73	11.23388568
74	11.19039655
75	11.14776435
76	11.1066219
77	11.06336692
78	11.02077697
79	10.97906132
80	10.93725228
81	10.89722843
82	10.85613594
83	10.81642963
84	10.77750725
85	10.73907875
86	10.70001519
87	10.66285316
88	10.6244294
89	10.58803924
90	10.55180079
91	10.51593196
92	10.47805922
93	10.44194606
94	10.40628836
95	10.37333481
96	10.33914225
97	10.30618746
98	10.27315373
99	10.24074338
100	10.20820136
101	10.17593546
102	10.14376409
103	10.11029457
104	10.07806219
105	10.04730001
106	10.01666362
107	9.985949504
108	9.955774078
109	9.926892137
110	9.897343394
111	9.868677723
112	9.838763261
113	9.810305169
114	9.782045095
115	9.754148156
116	9.727552364
117	9.700850478
118	9.675142118
119	9.648322069
120	9.621815057
121	9.595083376
122	9.56987624
123	9.544711232
124	9.518891414
125	9.494395057
126	9.469936642
127	9.445287846
128	9.420939112
129	9.396509325
130	9.372048202
131	9.348727855
132	9.325850832
133	9.303520839
134	9.281217929
135	9.259029039
136	9.237559201
137	9.215533422
138	9.193745836
139	9.17341812
140	9.151816077
141	9.13138133
142	9.111496172
143	9.092177957
144	9.07210491
145	9.053221112
146	9.034460761
147	9.014602737
148	8.995982089
149	8.977133103
150	8.957987358
151	8.9383129
152	8.919847953
153	8.901410001
154	8.883494526
155	8.865446266
156	8.847596072
157	8.83091091
158	8.813446049
159	8.797154725
160	8.779559357
161	8.763322358
162	8.747265287
163	8.731538381
164	8.714598026
165	8.698293655
166	8.682785411
167	8.666790063
168	8.651912361
169	8.636641057
170	8.621185751
171	8.606031678
172	8.591233541
173	8.576850019
174	8.562650364
175	8.548740404
176	8.534717702
177	8.52079295
178	8.50630428
179	8.493208316
180	8.479621528
181	8.466735646
182	8.453751386
183	8.440980764
184	8.428448849
185	8.415258092
186	8.402972316
187	8.389950834
188	8.377608176
189	8.365130752
190	8.351856455
191	8.339410576
192	8.327305612
193	8.315145068
194	8.303889149
195	8.292152917
196	8.281027639
197	8.268531838
198	8.256685549
199	8.245198603
200	8.234007226
201	8.222655441
202	8.211076361
203	8.201307823
204	8.190871825
205	8.180762877
206	8.170235615
207	8.159774813
208	8.149236161
209	8.139368065
210	8.129824337
211	8.120705403
212	8.110852683
213	8.101602465
214	8.092544408
215	8.082930316
216	8.072627748
217	8.06268837
218	8.053852339
219	8.044539685
220	8.035104231
221	8.025941534
222	8.016771482
223	8.008161462
224	7.999446465
225	7.991005882
226	7.982386078
227	7.973039336
228	7.965039234
229	7.956725928
230	7.948268679
231	7.940145229
232	7.931689212
233	7.923583075
234	7.915617474
235	7.908122012
236	7.90063605
237	7.892829024
238	7.885333696
239	7.878361584
240	7.870794909
241	7.864129402
242	7.856968245
243	7.84909111
244	7.84175642
245	7.834899489
246	7.827939544
247	7.821456066
248	7.81338075
249	7.807410742
250	7.799818508
251	7.793590716
252	7.786546892
253	7.779296642
254	7.772465423
255	7.766071642
56	8.550336982
257	8.544579788
258	8.538281077
259	8.531929369
260	8.525590889
261	8.520249409
262	8.514570967
263	8.509118271
264	8.503490092
265	8.497758896
266	8.492019047
267	8.485587782
268	8.48002727
