iter	Passed	Remaining
0	443	442608
1	498	248896
2	535	177896
3	572	142607
4	605	120443
5	661	109651
6	661	109651
7	719	101976
8	759	94030
9	789	86891
10	820	81179
11	854	76734
12	889	73125
13	923	70042
14	959	67482
15	989	64938
16	1022	62828
17	1066	61603
18	1097	59838
19	1126	58121
20	1153	56473
21	1185	55231
22	1221	54236
23	1263	53622
24	1321	53676
25	1359	52976
26	1392	52102
27	1427	51372
28	1455	50484
29	1488	49796
30	1537	49664
31	1566	48906
32	1566	48906
33	1673	50528
34	1736	50786
35	1770	50195
36	1803	49622
37	1843	49271
38	1879	48807
39	1910	48272
40	1945	47845
41	1984	47539
42	2016	47068
43	2054	46760
44	2095	46543
45	2126	46101
46	2161	45775
47	2193	45399
48	2224	45020
49	2257	44687
50	2290	44363
51	2326	44110
52	2365	43917
53	2417	43979
54	2452	43729
55	2452	43729
56	2568	44850
57	2629	45042
58	2676	44979
59	2719	44852
60	2760	44689
61	2796	44455
62	2829	44181
63	2867	44001
64	2906	43838
65	2940	43593
66	2975	43382
67	3005	43095
68	3034	42805
69	3069	42608
70	3101	42371
71	3150	42377
72	3150	42377
73	3256	43073
74	3302	43020
75	3346	42951
76	3395	42931
77	3438	42837
78	3476	42685
79	3511	42507
80	3543	42288
81	3572	42045
82	3600	41796
83	3631	41584
84	3658	41329
85	3690	41139
86	3719	40911
87	3748	40692
88	3775	40461
89	3804	40255
90	3836	40085
91	3866	39900
92	3895	39697
93	3923	39496
94	3954	39327
95	3984	39155
96	4021	39044
97	4054	38905
98	4054	38905
99	4160	39415
100	4256	39863
101	4297	39784
102	4336	39695
103	4379	39632
104	4424	39600
105	4455	39437
106	4485	39266
107	4530	39233
108	4559	39060
109	4592	38929
110	4627	38811
111	4661	38686
112	4690	38519
113	4721	38382
114	4755	38261
115	4789	38140
116	4824	38032
117	4858	37922
118	4886	37760
119	4929	37724
120	4959	37578
121	4959	37578
122	5069	38000
123	5108	37920
124	5141	37807
125	5192	37819
126	5229	37730
127	5264	37628
128	5302	37551
129	5333	37423
130	5379	37399
131	5420	37340
132	5453	37228
133	5485	37110
134	5519	37008
135	5549	36885
136	5581	36770
137	5614	36662
138	5654	36607
139	5704	36609
140	5750	36587
141	5750	36587
142	5861	36937
143	5904	36892
144	5940	36804
145	5986	36777
146	6026	36716
147	6059	36612
148	6087	36479
149	6119	36372
150	6159	36312
151	6195	36235
152	6233	36164
153	6272	36098
154	6301	35980
155	6348	35960
156	6394	35938
157	6432	35867
158	6476	35835
159	6514	35768
160	6564	35763
161	6607	35722
162	6661	35739
163	6706	35709
164	6706	35709
165	6789	35839
166	6871	35997
167	6951	36148
168	7026	36265
169	7082	36286
170	7133	36278
171	7183	36270
172	7233	36254
173	7290	36277
174	7336	36241
175	7385	36226
176	7430	36183
177	7479	36165
178	7521	36114
179	7564	36062
180	7618	36066
181	7665	36034
182	7701	35955
183	7774	36045
184	7774	36045
185	7868	36188
186	7949	36310
187	7985	36226
188	8019	36133
189	8059	36067
190	8095	35986
191	8138	35933
192	8181	35883
193	8219	35812
194	8268	35784
195	8306	35713
196	8341	35627
197	8376	35546
198	8412	35464
199	8452	35405
200	8499	35369
201	8536	35295
202	8574	35225
203	8607	35135
204	8644	35062
205	8675	34964
206	8707	34872
207	8738	34777
208	8767	34677
209	8797	34578
210	8826	34474
211	8856	34377
212	8883	34270
213	8922	34211
214	8957	34135
215	8985	34031
216	9017	33944
217	9048	33856
